arbre_code,arbre_libelle_fr,noeud_code,parent_code,profondeur,libelle_fr,libelle_ar,provenance,statut,source
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-ENSEMBLES,,1,Les ensembles de nombres IN Z Q ID et IR,مجموعات الأعداد,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-ARITH,,1,Arithmétique dans IN,الحساب في IN,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-VECTEURS,,1,Calcul vectoriel dans le plan,الحساب المتجهي في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-PROJECTION,,1,La projection dans le plan,الإسقاط في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-ORDRE,,1,L'ordre dans IR,الترتيب في IR,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-DROITE,,1,La droite dans le plan,المستقيم في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-POLYNOMES,,1,Les polynômes,الحدوديات,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-EQUATIONS,,1,Équations inéquations et systèmes,المعادلات والمتراجحات والنظمات,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-TRIGO1,,1,Trigonométrie 1 — règles du calcul trigonométrique,الحساب المثلثي 1,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-TRIGO2,,1,Trigonométrie 2 — équations et inéquations trigonométriques,الحساب المثلثي 2,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-FONCTIONS,,1,Généralités sur les fonctions,عموميات حول الدوال,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-TRANSFO,,1,Transformations du plan,تحويلات المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-SCALAIRE,,1,Le produit scalaire,الجداء السلمي,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-ESPACE,,1,Géométrie dans l'espace,الهندسة في الفضاء,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-MATH,Mathématiques — Tronc commun sciences,TCS-MATH-STATS,,1,Statistiques,الإحصاء,propose,a_confirmer,alloschool.com/course/mathematiques-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-PHY,,0,Physique,الفيزياء,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-GRAVITATION,TCS-PC-PHY,1,La gravitation universelle,التجاذب الكوني,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-ACTIONS,TCS-PC-PHY,1,Exemples d'actions mécaniques,أمثلة لتأثيرات ميكانيكية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-MOUVEMENT,TCS-PC-PHY,1,Le mouvement,الحركة,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-INERTIE,TCS-PC-PHY,1,Le principe d'inertie,مبدأ القصور,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-EQUILIBRE2,TCS-PC-PHY,1,Équilibre d'un corps sous l'action de deux forces,توازن جسم تحت تأثير قوتين,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-EQUILIBRE3,TCS-PC-PHY,1,Équilibre d'un corps sous l'action de trois forces,توازن جسم تحت تأثير ثلاث قوى,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-ROTATION,TCS-PC-PHY,1,Équilibre d'un solide en rotation autour d'un axe fixe,توازن جسم صلب قابل للدوران حول محور ثابت,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-COURANT,TCS-PC-PHY,1,Le courant électrique continu,التيار الكهربائي المستمر,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-TENSION,TCS-PC-PHY,1,La tension électrique,التوتر الكهربائي,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-OHMIQUES,TCS-PC-PHY,1,Association des conducteurs ohmiques,تركيب الموصلات الأومية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-DIPOLES-P,TCS-PC-PHY,1,Caractéristiques de quelques dipôles passifs,مميزات بعض ثنائيات القطب السلبية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
